Language,numberofpages,author,bookEdition,description,title,GoodReadAverageRating,bookformat,NumberofRatings,id
English,201 pages,Émile Zola,Penguin Classics," is a clinically observed, sinister tale of adultery and murder among the lower classes in nineteenth-century Parisian society.",Thérèse Raquin,3.71,Paperback,14603,110871
English,464 pages,Richard Price,First Edition, Lush Life ,Lush Life,3.69,Hardcover,10349,1862313
English,468 pages,Sherrilyn Kenyon,First,Now Nick’s saga continues in the next eagerly anticipated volume...,Infamous,4.36,Hardcover,16487,12019355
English,379 pages,James Luceno,First Edition,Star Wars:,Star Wars: Darth Plagueis,4.07,Hardcover,12131,11099729
"
                  ",351 pages,J.G. Ballard,Special Overseas Edition,"Shanghai, 1941 -- a city aflame from the fateful torch of Pearl Harbor. In streets full of chaos and",Empire of the Sun,3.98,Paperback,13069,56674
English,204 pages,Michael Chabon,First Edition,"Michael Chabon's Pulitzer Prize-winning bestseller, The Amazing Adventures of Kavalier & Clay, sprang from an early passion for the derring-do and larger-than-life heroes of classic comic books. Now, once more mining the rich past, Chabon summons the rollicking spirit of legendary adventures—from The Arabian Nights to Alexandre Dumas to Fritz Leiber's Fafhrd and the Gray Mouser stories—in a wonderful new novel brimming with breathless action, raucous humor, cliff-hanging suspense, and a cast of colorful characters worthy of Scheherazade's most tantalizing tales.",Gentlemen of the Road,3.42,Hardcover,11525,587638
English,373 pages,Philip Reeve,Eos,"The great traction city London has been skulking in the hills to avoid the bigger, faster, hungrier cities loose in the Great Hunting Ground. But now, the sinister plans of Lord Mayor Mangus Crome can finally unfold.",Mortal Engines,3.98,Paperback,14698,287861
English,363 pages,Suetonius,Revised Edition," chronicles the public careers and private lives of the men who wielded absolute power over Rome, from the foundation of the empire under Julius Cae",De vita Caesarum ,4.05,Paperback,13041,29022
                                  ,346 pages,L.D. Davis,2nd Edition,"She tries to put the enormous mistake behind her, but Kyle mercilessly pursues Emmy despite her new relationship with Luke Kessler and Kyle's long-standing girlfriend Jessyca.",B007SRWAEW,3.94,Kindle Edition,17120,13601550
English,836 pages,Sherrilyn Kenyon,First,"As the twin to Acheron, Styxx hasn’t always been on his brother’s side. They’ve spent more centuries going at each other’s throats than protecting their backs. Now Styxx",Styxx,4.58,Hardcover,16964,15767586
English,276 pages,Terry Pratchett,First Edition,"This is a time of endings and beginnings, old friends and new, a blurring of edges and a shifting of power. Now Tiffany stands between the light and the dark, the good and the bad.",The Shepherd's Crown,4.34,Hardcover,14079,22886868
English,437 pages,Elizabeth Gaskell,Oxford World's Classics,"This is Elizabeth Gaskell's first novel, a widely acclaimed work based on the actual murder, in 1831, of a progressive mill owner. It follows Mary Barton, daughter of a man implicated in the murder, through her adolescence, when she suffers the advances of the mill owner, and later through love and marriage. Set in Manchester, between 1837-42, it paints a powerful and moving picture of working-class life in Victorian England.",Mary Barton,3.7,Paperback,13292,54620
English,657 pages,Jeffery Deaver,Large Print,"#1 international bestselling author of over thirty novels and three collections of short stories. His books are sold in 150 countries and translated into 25 languages. His first novel featuring Lincoln Rhyme, ",The Stone Monkey,3.94,Hardcover,13778,142545
English,472 pages,Aleksandr Solzhenitsyn,English Edition,"Drawing on his own incarceration and exile, as well as on evidence from more than 200 fellow prisoners and Soviet archives, Aleksandr I. Solzhenitsyn reveals the entire apparatus of Soviet repression -- the state within the state that ruled all-powerfully.Through truly Shakespearean portraits of its victims -- men, women, and children -- we encounter secret police operations, labor camps and prisons; the uprooting or extermination of whole populations, the welcome that awaited Russian soldiers who had been German prisoners of war. Yet we also witness the astounding moral courage of the incorruptible, who, defenseless, endured great brutality and degradation. The Gulag Archipelago 1918-1956 -- a grisly indictment of a regime, fashioned here into a veritable literary miracle -- has now been updated with a new introduction that includes the fall of the Soviet Union and Solzhenitsyn's move back to Russia.","Архипелаг ГУЛАГ, 1918-1956",4.16,Paperback,12891,70561
English,406 pages,Kelley Armstrong,First Edition,All they have is the name and number of someone who might be able to give them a f,The Rising,4.13,Hardcover,18912,11864728
English,182 pages,Anita Brookner,First Vintage Contemporaries Edition,"In the novel that won her the Booker Prize and established her international reputation, Anita Brookner finds a new vocabulary for framing the eternal question ""Why love?"" It tells the story of Edith Hope, who writes romance novels under a pseudonym. When her life begins to resemble the plots of her own novels,",Hotel du Lac,3.56,Paperback,12250,251665
"
                ",362 pages,حسن كمال,الطبعة الثانية,تدور أحداث الرواية حول طالب في كلية الطب يهوى الكتابة ، ويبحث دائما عن شخصيات فريدة لتناولها في كتاباته ، إلى أن يجد نفسه وجها لوجه أمام (المرحوم) ، عامل المشرحة المسئول عن حفظ الجثث وإعدادها للتشريح .. يقترب منه ليكتشف أنه شخصية مركبة لأقصى حد . حيث يرى أن وجوده في المشرحة هو رسالة كلف بها ليتم لهؤلاء الموتى أعمالا كان ينبغي عليهم أن يتموها حتى ترتاح أجسادهم في الأرض .. ويخبره أنه يملك القدرة على أن يلبس أجساد الموتى ويتحرك بها لينتهي مما لم يستطيعوا أن ينتهوا منه وهم أحياء .. وما بين تعاطف الطبيب الشاب مع عامل المشرحة الذي يبدو له مختلا وفضوله ليستكمل قصته الجديدة يتماشى معه . فيجد نفسه طرفا في أحداث تجره إلى عالم أكثر قسوة وغموضا من عالم الأموات .. هو صراع الأحياء ..صراعات الدين والسلطة والفساد والسياسة والفقر والمرض ، ومع الوقت يجد أن كل ما يحدث يؤكد له أن هذا العامل ليس مجنونا بل هو مرتبط فعليا بهؤلاء الموتى الذين تركوا حياتهم خلفهم لينغمس فيها هو والمرحوم ويكاد يكون خروجهما منها مستحيلا ..,المرحوم,3.51,Paperback,9046,18323154
English,288 pages,Pat Barker,First Plume Printing,Her books include the highly acclaimed Regeneration trilogy ,The Ghost Road,4.12,Paperback,12692,151926
English,943 pages,American Psychiatric Association,"4th, Text Revision","This Text Revision incorporates information culled from a comprehensive literature review of research about mental disorders published since the DSM-IV(R) of 1994. Updated information is included about the associated features, culture, age & gender features, prevalence, course & familial pattern of mental disorders. The DSM-IV-TR(R) brings this essential diagnostic tool to-date, to promote effective diagnosis, treatment & quality of care. One can get all the essential diagnostic information from the DSM-IV(R) along with important updates not in the '94 edition. Benefit from new research into Schizophrenia, Asperger's Disorder & other conditions. Utilize additional information about the epidemiology & other facets of DSM conditions. Update ICD-9-CM codes implemented since 1994 including Conduct Disorder, Dementia, Somatoform Disorders.",Diagnostic and Statistical Manual of Mental Disorders DSM-IV-TR (Text Revision),3.87,Paperback,10192,164723
English,190 pages,Edgar Rice Burroughs,From Jan-May 1913 10-part serial <i>All-Story Magazine</i>,"Edgar Rice Burroughs was an American author, best known for his creation of the jungle hero Tarzan and the heroic John Carter, although he produced works in many genres.",The Gods of Mars,3.86,Paperback,13316,841973
English,1160 pages,Stephen R. Donaldson,"Paperback, collected edition of 1st 3 books","Thomas Covenant, an embittered and cynical writer, afflicted with leprosy and shunned by society, is fated to","The Chronicles of Thomas Covenant, the Unbeliever",3.78,Paperback,12408,179033
"
                  ",282 pages,Harper Sloan,2nd  Edition,"Greg Cage was born to protect. While growing up, he was his mother and sister's shield against the world... until he failed. For the last decade, he has carried that guilt and need for vengeance around... until it was stripped from him. Now, with his best friend getting married and no longer needing his protection, h",English,4.29,Paperback,24857,21518679
